Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0115","Barley","2010","2010","tonnes","33894","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0115","Barley","2010","2010","1000 US$","4966","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02111","Cattle","2010","2010","Head","444","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02111","Cattle","2010","2010","1000 US$","1240","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02111","Cattle","2010","2010","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02111","Cattle","2010","2010","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5609","Import Quantity","02151","Chickens","2010","2010","1000 Head","862","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02151","Chickens","2010","2010","1000 US$","998","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5909","Export Quantity","02151","Chickens","2010","2010","1000 Head","410","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02151","Chickens","2010","2010","1000 US$","434","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02123","Goats","2010","2010","Head","323","T","Unofficial figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02123","Goats","2010","2010","1000 US$","86","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02123","Goats","2010","2010","Head","3742","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02123","Goats","2010","2010","1000 US$","90","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0117","Oats","2010","2010","tonnes","12","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0117","Oats","2010","2010","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0113","Rice","2010","2010","tonnes","77","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0113","Rice","2010","2010","1000 US$","48","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","0113","Rice","2010","2010","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","0113","Rice","2010","2010","1000 US$","0","E","Estimated value"
