Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0115","Barley","2015","2015","tonnes","14859","I","Imputed value"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0115","Barley","2015","2015","1000 US$","2475","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02111","Cattle","2015","2015","Head","321","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","02111","Cattle","2015","2015","tonnes","177","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02111","Cattle","2015","2015","1000 US$","799","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02111","Cattle","2015","2015","Head","3106","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","02111","Cattle","2015","2015","tonnes","606","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02111","Cattle","2015","2015","1000 US$","1111","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5609","Import Quantity","02151","Chickens","2015","2015","1000 Head","8051","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","02151","Chickens","2015","2015","tonnes","420","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02151","Chickens","2015","2015","1000 US$","3854","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0113","Rice","2015","2015","tonnes","4","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0113","Rice","2015","2015","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02122","Sheep","2015","2015","Head","49187","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","02122","Sheep","2015","2015","tonnes","1721","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02122","Sheep","2015","2015","1000 US$","3438","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02140","Swine / pigs","2015","2015","Head","837","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","02140","Swine / pigs","2015","2015","tonnes","74","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02140","Swine / pigs","2015","2015","1000 US$","110","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0111","Wheat","2015","2015","tonnes","292622","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0111","Wheat","2015","2015","1000 US$","70621","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","0111","Wheat","2015","2015","tonnes","882","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","0111","Wheat","2015","2015","1000 US$","194","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","0115","Barley","2015","2015","tonnes","31280","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","0115","Barley","2015","2015","1000 US$","6059","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5608","Import Quantity","02111","Cattle","2015","2015","Head","88666","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","02111","Cattle","2015","2015","tonnes","26494","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","02111","Cattle","2015","2015","1000 US$","44272","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5908","Export Quantity","02111","Cattle","2015","2015","Head","39","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export Quantity","02111","Cattle","2015","2015","tonnes","18","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5922","Export Value","02111","Cattle","2015","2015","1000 US$","25","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5609","Import Quantity","02151","Chickens","2015","2015","1000 Head","3041","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","02151","Chickens","2015","2015","tonnes","149","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","02151","Chickens","2015","2015","1000 US$","4461","T","Unofficial figure"
"TCL","Crops and livestock products","031","Azerbaijan","5909","Export Quantity","02151","Chickens","2015","2015","1000 Head","104","T","Unofficial figure"
